t,T,R
0,850,-13.33333333
13.33333333,849,-13.33333333
26.66666667,848,-13.33333333
40,847,-13.33333333
53.33333333,846,-13.33333333
66.66666667,845,-13.33333333
80,844,-13.33333333
93.33333333,843,-13.33333333
106.6666667,842,-13.33333333
120,841,-10.66666667
128,840,-8
136,839,-8
144,838,-8
152,837,-8
160,836,-8
168,835,-8
176,834,-8
184,833,-8
192,832,-8
200,831,-8
208,830,-8
216,829,-8
224,828,-8
232,827,-8
240,826,-7.75
247.5,825,-7.5
255,824,-7.5
262.5,823,-7.5
270,822,-7.5
277.5,821,-7.5
285,820,-7.5
292.5,819,-7.5
300,818,-7.5
307.5,817,-7.5
315,816,-7.5
322.5,815,-7.5
330,814,-7.5
337.5,813,-7.5
345,812,-7.5
352.5,811,-7.5
360,810,-7.75
368,809,-8
376,808,-8
384,807,-8
392,806,-8
400,805,-8
408,804,-8
416,803,-8
424,802,-8
432,801,-8
440,800,-8
448,799,-8
456,798,-8
464,797,-8
472,796,-8
480,795,-8.285714286
488.5714286,794,-8.571428571
497.1428571,793,-8.571428571
505.7142857,792,-8.571428571
514.2857143,791,-8.571428571
522.8571429,790,-8.571428571
531.4285714,789,-8.571428571
540,788,-8.571428571
548.5714286,787,-8.571428571
557.1428571,786,-8.571428571
565.7142857,785,-8.571428571
574.2857143,784,-8.571428571
582.8571429,783,-8.571428571
591.4285714,782,-8.571428571
600,781,-8.901098901
609.2307692,780,-9.230769231
618.4615385,779,-9.230769231
627.6923077,778,-9.230769231
636.9230769,777,-9.230769231
646.1538462,776,-9.230769231
655.3846154,775,-9.230769231
664.6153846,774,-9.230769231
673.8461538,773,-9.230769231
683.0769231,772,-9.230769231
692.3076923,771,-9.230769231
701.5384615,770,-9.230769231
710.7692308,769,-9.230769231
720,768,-9.230769231
729.2307692,767,-9.230769231
738.4615385,766,-9.230769231
747.6923077,765,-9.230769231
756.9230769,764,-9.230769231
766.1538462,763,-9.230769231
775.3846154,762,-9.230769231
784.6153846,761,-9.230769231
793.8461538,760,-9.230769231
803.0769231,759,-9.230769231
812.3076923,758,-9.230769231
821.5384615,757,-9.230769231
830.7692308,756,-9.230769231
840,755,-9.615384615
850,754,-10
860,753,-10
870,752,-10
880,751,-10
890,750,-10
900,749,-10
910,748,-10
920,747,-10
930,746,-10
940,745,-10
950,744,-10
960,743,-10
970,742,-10
980,741,-10
990,740,-10
1000,739,-10
1010,738,-10
1020,737,-10
1030,736,-10
1040,735,-10
1050,734,-10
1060,733,-10
1070,732,-10
1080,731,-10.45454545
1090.909091,730,-10.90909091
1101.818182,729,-10.90909091
1112.727273,728,-10.90909091
1123.636364,727,-10.90909091
1134.545455,726,-10.90909091
1145.454545,725,-10.90909091
1156.363636,724,-10.90909091
1167.272727,723,-10.90909091
1178.181818,722,-10.90909091
1189.090909,721,-10.90909091
1200,720,-10.90909091
1210.909091,719,-10.90909091
1221.818182,718,-10.90909091
1232.727273,717,-10.90909091
1243.636364,716,-10.90909091
1254.545455,715,-10.90909091
1265.454545,714,-10.90909091
1276.363636,713,-10.90909091
1287.272727,712,-10.90909091
1298.181818,711,-10.90909091
1309.090909,710,-10.90909091
1320,709,-11.45454545
1332,708,-12
1344,707,-12
1356,706,-12
1368,705,-12
1380,704,-12
1392,703,-12
1404,702,-12
1416,701,-12
1428,700,-12
1440,699,-12
1452,698,-12
1464,697,-12
1476,696,-12
1488,695,-12
1500,694,-12
1512,693,-12
1524,692,-12
1536,691,-12
1548,690,-12
1560,689,-12
1572,688,-12
1584,687,-12
1596,686,-12
1608,685,-12
1620,684,-12
1632,683,-12
1644,682,-12
1656,681,-12
1668,680,-12
1680,679,-12.66666667
1693.333333,678,-13.33333333
1706.666667,677,-13.33333333
1720,676,-13.33333333
1733.333333,675,-13.33333333
1746.666667,674,-13.33333333
1760,673,-13.33333333
1773.333333,672,-13.33333333
1786.666667,671,-13.33333333
1800,670,-13.33333333
1813.333333,669,-13.33333333
1826.666667,668,-13.33333333
1840,667,-13.33333333
1853.333333,666,-13.33333333
1866.666667,665,-13.33333333
1880,664,-13.33333333
1893.333333,663,-13.33333333
1906.666667,662,-13.33333333
1920,661,-14.16666667
1935,660,-15
1950,659,-15
1965,658,-15
1980,657,-15
1995,656,-15
2010,655,-15
2025,654,-15
2040,653,-14.16666667
2053.333333,652,-13.33333333
2066.666667,651,-13.33333333
2080,650,-13.33333333
