t,T,R
5520.0,497,-0.03333333333333333
5490.0,498,-0.033333333333333215
5460.0,499,-0.033333333333333215
5430.0,500,-0.033333333333333215
5400.0,501,-0.033333333333333215
5370.0,502,-0.033333333333333215
5340.0,503,-0.033333333333333215
5310.0,504,-0.033333333333333215
5280.0,505,-0.033333333333333215
5250.0,506,-0.033333333333333215
5220.0,507,-0.033333333333333215
5190.0,508,-0.033333333333333215
5160.0,509,-0.033333333333333215
5130.0,510,-0.033333333333333215
5100.0,511,-0.033333333333333215
5070.0,512,-0.03333333333333499
5040.0,513,-0.033333333333333215
5010.0,514,-0.033333333333333215
4980.0,515,-0.033333333333333215
4950.0,516,-0.033333333333333215
4920.0,517,-0.033333333333333215
4890.0,518,-0.033333333333333215
4860.0,519,-0.033333333333333215
4830.0,520,-0.033333333333333215
4800.0,521,-0.0379629629629612
4776.0,522,-0.041666666666666075
4752.0,523,-0.041666666666666075
4728.0,524,-0.04166666666666785
4704.0,525,-0.041666666666666075
4680.0,526,-0.041666666666666075
4656.0,527,-0.04166666666666785
4632.0,528,-0.041666666666666075
4608.0,529,-0.041666666666666075
4584.0,530,-0.04166666666666785
4560.0,531,-0.041666666666666075
4536.0,532,-0.041666666666666075
4512.0,533,-0.04166666666666785
4488.0,534,-0.041666666666666075
4464.0,535,-0.041666666666666075
4440.0,536,-0.04621212121212004
4420.0,537,-0.05000000000000071
4400.0,538,-0.05000000000000071
4380.0,539,-0.049999999999998934
4360.0,540,-0.049999999999998934
4340.0,541,-0.05000000000000071
4320.0,542,-0.05000000000000071
4300.0,543,-0.05000000000000071
4280.0,544,-0.049999999999998934
4260.0,545,-0.049999999999998934
4240.0,546,-0.05000000000000071
4220.0,547,-0.05000000000000071
4200.0,548,-0.05000000000000071
4180.0,549,-0.049999999999998934
4160.0,550,-0.049999999999998934
4140.0,551,-0.05000000000000071
4120.0,552,-0.05000000000000071
4100.0,553,-0.05000000000000071
4080.0,554,-0.046212121212121815
4056.0,555,-0.041666666666666075
4032.0,556,-0.041666666666666075
4008.0,557,-0.04166666666666785
3984.0,558,-0.041666666666666075
3960.0,559,-0.04621212121212004
3940.0,560,-0.049999999999998934
3920.0,561,-0.05000000000000071
3900.0,562,-0.05000000000000071
3880.0,563,-0.05000000000000071
3860.0,564,-0.049999999999998934
3840.0,565,-0.049999999999998934
3820.0,566,-0.05000000000000071
3800.0,567,-0.05000000000000071
3780.0,568,-0.05000000000000071
3760.0,569,-0.049999999999998934
3740.0,570,-0.049999999999998934
3720.0,571,-0.05000000000000071
3700.0,572,-0.05000000000000071
3680.0,573,-0.05000000000000071
3660.0,574,-0.049999999999998934
3640.0,575,-0.049999999999998934
3620.0,576,-0.05000000000000071
3600.0,577,-0.05448717948717885
3582.8571428571427,578,-0.05833333333333002
3565.714285714286,579,-0.05833333333333357
3548.5714285714284,580,-0.05833333333333002
3531.4285714285716,581,-0.05833333333333712
3514.285714285714,582,-0.05833333333333357
3497.1428571428573,583,-0.05833333333333357
3480.0,584,-0.0544871794871824
3460.0,585,-0.049999999999998934
3440.0,586,-0.05000000000000071
3420.0,587,-0.05000000000000071
3400.0,588,-0.05000000000000071
3380.0,589,-0.049999999999998934
3360.0,590,-0.049999999999998934
3340.0,591,-0.05000000000000071
3320.0,592,-0.05000000000000071
3300.0,593,-0.05000000000000071
3280.0,594,-0.049999999999998934
3260.0,595,-0.049999999999998934
3240.0,596,-0.0544871794871753
3222.8571428571427,597,-0.05833333333333357
3205.714285714286,598,-0.05833333333333357
3188.5714285714284,599,-0.05833333333333002
3171.4285714285716,600,-0.05833333333333712
3154.285714285714,601,-0.05833333333333357
3137.1428571428573,602,-0.05833333333333357
3120.0,603,-0.05833333333333002
3102.8571428571427,604,-0.05833333333333357
3085.714285714286,605,-0.05833333333333712
3068.5714285714284,606,-0.05833333333333002
3051.4285714285716,607,-0.05833333333333712
3034.285714285714,608,-0.05833333333333002
3017.1428571428573,609,-0.05833333333333357
3000.0,610,-0.06277777777777871
2985.0,611,-0.06666666666666643
2970.0,612,-0.06666666666666643
2955.0,613,-0.06666666666666643
