t,T,R
0,828,-15
15,827,-15
30,826,-15
45,825,-15
60,824,-15
75,823,-15
90,822,-15
105,821,-15
120,820,-11.5
128,819,-8
136,818,-8
144,817,-8
152,816,-8
160,815,-8
168,814,-8
176,813,-8
184,812,-8
192,811,-8
200,810,-8
208,809,-8
216,808,-8
224,807,-8
232,806,-8
240,805,-8
248,804,-8
256,803,-8
264,802,-8
272,801,-8
280,800,-8
288,799,-8
296,798,-8
304,797,-8
312,796,-8
320,795,-8
328,794,-8
336,793,-8
344,792,-8
352,791,-8
360,790,-8.285714286
368.5714286,789,-8.571428571
377.1428571,788,-8.571428571
385.7142857,787,-8.571428571
394.2857143,786,-8.571428571
402.8571429,785,-8.571428571
411.4285714,784,-8.571428571
420,783,-8.571428571
428.5714286,782,-8.571428571
437.1428571,781,-8.571428571
445.7142857,780,-8.571428571
454.2857143,779,-8.571428571
462.8571429,778,-8.571428571
471.4285714,777,-8.571428571
480,776,-8.571428571
488.5714286,775,-8.571428571
497.1428571,774,-8.571428571
505.7142857,773,-8.571428571
514.2857143,772,-8.571428571
522.8571429,771,-8.571428571
531.4285714,770,-8.571428571
540,769,-8.571428571
548.5714286,768,-8.571428571
557.1428571,767,-8.571428571
565.7142857,766,-8.571428571
574.2857143,765,-8.571428571
582.8571429,764,-8.571428571
591.4285714,763,-8.571428571
600,762,-8.901098901
609.2307692,761,-9.230769231
618.4615385,760,-9.230769231
627.6923077,759,-9.230769231
636.9230769,758,-9.230769231
646.1538462,757,-9.230769231
655.3846154,756,-9.230769231
664.6153846,755,-9.230769231
673.8461538,754,-9.230769231
683.0769231,753,-9.230769231
692.3076923,752,-9.230769231
701.5384615,751,-9.230769231
710.7692308,750,-9.230769231
720,749,-9.230769231
729.2307692,748,-9.230769231
738.4615385,747,-9.230769231
747.6923077,746,-9.230769231
756.9230769,745,-9.230769231
766.1538462,744,-9.230769231
775.3846154,743,-9.230769231
784.6153846,742,-9.230769231
793.8461538,741,-9.230769231
803.0769231,740,-9.230769231
812.3076923,739,-9.230769231
821.5384615,738,-9.230769231
830.7692308,737,-9.230769231
840,736,-9.615384615
850,735,-10
860,734,-10
870,733,-10
880,732,-10
890,731,-10
900,730,-10
910,729,-10
920,728,-10
930,727,-10
940,726,-10
950,725,-10
960,724,-10.45454545
970.9090909,723,-10.90909091
981.8181818,722,-10.90909091
992.7272727,721,-10.90909091
1003.636364,720,-10.90909091
1014.545455,719,-10.90909091
1025.454545,718,-10.90909091
1036.363636,717,-10.90909091
1047.272727,716,-10.90909091
1058.181818,715,-10.90909091
1069.090909,714,-10.90909091
1080,713,-10.90909091
1090.909091,712,-10.90909091
1101.818182,711,-10.90909091
1112.727273,710,-10.90909091
1123.636364,709,-10.90909091
1134.545455,708,-10.90909091
1145.454545,707,-10.90909091
1156.363636,706,-10.90909091
1167.272727,705,-10.90909091
1178.181818,704,-10.90909091
1189.090909,703,-10.90909091
1200,702,-10.90909091
1210.909091,701,-10.90909091
1221.818182,700,-10.90909091
1232.727273,699,-10.90909091
1243.636364,698,-10.90909091
1254.545455,697,-10.90909091
1265.454545,696,-10.90909091
1276.363636,695,-10.90909091
1287.272727,694,-10.90909091
1298.181818,693,-10.90909091
1309.090909,692,-10.90909091
1320,691,-11.45454545
1332,690,-12
1344,689,-12
1356,688,-12
1368,687,-12
1380,686,-12
1392,685,-12
1404,684,-12
1416,683,-12
1428,682,-12
1440,681,-12
1452,680,-12
1464,679,-12
1476,678,-12
1488,677,-12
1500,676,-12
1512,675,-12
1524,674,-12
1536,673,-12
1548,672,-12
1560,671,-12
1572,670,-12
1584,669,-12
1596,668,-12
1608,667,-12
1620,666,-12
1632,665,-12
1644,664,-12
1656,663,-12
1668,662,-12
1680,661,-12.66666667
1693.333333,660,-13.33333333
1706.666667,659,-13.33333333
1720,658,-13.33333333
1733.333333,657,-13.33333333
1746.666667,656,-13.33333333
1760,655,-13.33333333
1773.333333,654,-13.33333333
1786.666667,653,-13.33333333
1800,652,-14.16666667
1815,651,-15
1830,650,-15
1845,649,-15
1860,648,-15
1875,647,-15
1890,646,-15
1905,645,-15
1920,644,-14.16666667
1933.333333,643,-13.33333333
1946.666667,642,-13.33333333
1960,641,-13.33333333
1973.333333,640,-13.33333333
1986.666667,639,-13.33333333
2000,638,-13.33333333
2013.333333,637,-13.33333333
2026.666667,636,-13.33333333
2040,635,-14.16666667
2055,634,-15
2070,633,-15
2085,632,-15
2100,631,-15
2115,630,-15
2130,629,-15
2145,628,-15
2160,627,-15
2175,626,-15
2190,625,-15
2205,624,-15
2220,623,-15
2235,622,-15
2250,621,-15
2265,620,-15
2280,619,-15
2295,618,-15
2310,617,-15
2325,616,-15
2340,615,-15
2355,614,-15
2370,613,-15
2385,612,-15
2400,611,-16.07142857
2417.142857,610,-17.14285714
2434.285714,609,-17.14285714
2451.428571,608,-17.14285714
2468.571429,607,-17.14285714
2485.714286,606,-17.14285714
2502.857143,605,-17.14285714
2520,604,-17.14285714
2537.142857,603,-17.14285714
2554.285714,602,-17.14285714
2571.428571,601,-17.14285714
2588.571429,600,-17.14285714
2605.714286,599,-17.14285714
2622.857143,598,-17.14285714
2640,597,-18.57142857
2660,596,-20
2680,595,-20
2700,594,-20
2720,593,-20
2740,592,-20
2760,591,-18.57142857
2777.142857,590,-17.14285714
2794.285714,589,-17.14285714
2811.428571,588,-17.14285714
2828.571429,587,-17.14285714
2845.714286,586,-17.14285714
2862.857143,585,-17.14285714
2880,584,-17.14285714
2897.142857,583,-17.14285714
2914.285714,582,-17.14285714
2931.428571,581,-17.14285714
2948.571429,580,-17.14285714
2965.714286,579,-17.14285714
2982.857143,578,-17.14285714
3000,577,-18.57142857
3020,576,-20
3040,575,-20
