t,T,R
3060,574,-20
3080,573,-20
3100,572,-20
3120,571,-18.57142857
3137.142857,570,-17.14285714
3154.285714,569,-17.14285714
3171.428571,568,-17.14285714
3188.571429,567,-17.14285714
3205.714286,566,-17.14285714
3222.857143,565,-17.14285714
3240,564,-18.57142857
3260,563,-20
3280,562,-20
3300,561,-20
3320,560,-20
3340,559,-20
3360,558,-20
3380,557,-20
3400,556,-20
3420,555,-20
3440,554,-20
3460,553,-20
3480,552,-20
3500,551,-20
3520,550,-20
3540,549,-20
3560,548,-20
3580,547,-20
3600,546,-22
3624,545,-24
3648,544,-24
3672,543,-24
3696,542,-24
3720,541,-24
3744,540,-24
3768,539,-24
3792,538,-24
3816,537,-24
3840,536,-24
3864,535,-24
3888,534,-24
3912,533,-24
3936,532,-24
3960,531,-24
3984,530,-24
4008,529,-24
4032,528,-24
4056,527,-24
4080,526,-22
4100,525,-20
4120,524,-20
4140,523,-20
4160,522,-20
4180,521,-20
4200,520,-22
4224,519,-24
4248,518,-24
4272,517,-24
4296,516,-24
4320,515,-24
4344,514,-24
4368,513,-24
4392,512,-24
4416,511,-24
4440,510,-27
4470,509,-30
4500,508,-30
4530,507,-30
4560,506,-30
4590,505,-30
4620,504,-30
4650,503,-30
4680,502,-27
4704,501,-24
4728,500,-24
4752,499,-24
4776,498,-24
4800,497,-24
