t,T,R
1.42E-14,917,-10.90909091
10.90909091,916,-10.90909091
21.81818182,915,-10.90909091
32.72727273,914,-10.90909091
43.63636364,913,-10.90909091
54.54545455,912,-10.90909091
65.45454545,911,-10.90909091
76.36363636,910,-10.90909091
87.27272727,909,-10.90909091
98.18181818,908,-10.90909091
109.0909091,907,-10.90909091
120,906,-8.787878788
126.6666667,905,-6.666666667
133.3333333,904,-6.666666667
140,903,-6.666666667
146.6666667,902,-6.666666667
153.3333333,901,-6.666666667
160,900,-6.666666667
166.6666667,899,-6.666666667
173.3333333,898,-6.666666667
180,897,-6.666666667
186.6666667,896,-6.666666667
193.3333333,895,-6.666666667
200,894,-6.666666667
206.6666667,893,-6.666666667
213.3333333,892,-6.666666667
220,891,-6.666666667
226.6666667,890,-6.666666667
233.3333333,889,-6.666666667
240,888,-6.862745098
247.0588235,887,-7.058823529
254.1176471,886,-7.058823529
261.1764706,885,-7.058823529
268.2352941,884,-7.058823529
275.2941176,883,-7.058823529
282.3529412,882,-7.058823529
289.4117647,881,-7.058823529
296.4705882,880,-7.058823529
303.5294118,879,-7.058823529
310.5882353,878,-7.058823529
317.6470588,877,-7.058823529
324.7058824,876,-7.058823529
331.7647059,875,-7.058823529
338.8235294,874,-7.058823529
345.8823529,873,-7.058823529
352.9411765,872,-7.058823529
360,871,-7.058823529
367.0588235,870,-7.058823529
374.1176471,869,-7.058823529
381.1764706,868,-7.058823529
388.2352941,867,-7.058823529
395.2941176,866,-7.058823529
402.3529412,865,-7.058823529
409.4117647,864,-7.058823529
416.4705882,863,-7.058823529
423.5294118,862,-7.058823529
430.5882353,861,-7.058823529
437.6470588,860,-7.058823529
444.7058824,859,-7.058823529
451.7647059,858,-7.058823529
458.8235294,857,-7.058823529
465.8823529,856,-7.058823529
472.9411765,855,-7.058823529
480,854,-7.529411765
488,853,-8
496,852,-8
504,851,-8
512,850,-8
520,849,-8
528,848,-8
536,847,-8
544,846,-8
552,845,-8
560,844,-8
568,843,-8
576,842,-8
584,841,-8
592,840,-8
600,839,-7.75
607.5,838,-7.5
