T,R1,R2,k1,k2
550.0,-1.3000000000000682,-2.5,333.06509593529637,19.216009085192216
551.0,-1.5,-2.5,265.6939258156075,91.88679917744396
552.0,-1.5,-2.7727272727273657,269.60167940763387,78.83692956273539
553.0,-1.299999999999983,-2.9999999999998863,343.35424794005434,-10.439089432895397
554.0,-1.0,-3.0,766.8352688025537,-490.11942790435546
555.0,-1.3000000000000114,-3.0,343.3542479400416,-10.439089432884282
556.0,-1.4999999999999432,-2.9999999999998863,272.2009020699505,70.15687437401566
557.0,-1.5,-3.0,272.20090206993774,70.15687437402751
558.0,-1.3000000000000114,-2.7727272727271384,339.2288435326464,1.451032714402136
559.0,-1.0,-2.5,717.3430408673931,-395.29040105479004
560.0,-2.071428571428441,-2.5000000000001137,197.14608873378052,165.82681641332258
561.0,-2.5,-2.5,178.79752922710003,185.61872909698997
562.0,-2.5000000000001137,-2.5,178.79752922709656,185.61872909699366
563.0,-2.5000000000001137,-2.772727272727252,180.5587057929532,177.80218913934993
564.0,-2.5,-2.9999999999998863,181.72083519473173,172.64436959925436
565.0,-2.125000000000057,-2.9999999999998863,197.52850826227012,154.73889191801283
566.0,-1.5,-3.0,272.20090206993774,70.15687437402751
567.0,-1.4999999999999432,-3.0,272.20090206995167,70.15687437401174
568.0,-2.125,-3.0,197.5285082622739,154.73889191800663
569.0,-2.5,-2.772727272727252,180.55870579295674,177.80218913934593
570.0,-2.5,-2.5,178.79752922710003,185.61872909698997
571.0,-2.5,-2.5,178.79752922710003,185.61872909698997
572.0,-2.4999999999998863,-2.5,178.79752922710347,185.61872909698627
573.0,-2.0714285714286405,-2.5,197.14608873376753,165.82681641333977
574.0,-1.0,-2.5,717.3430408673931,-395.29040105479004
575.0,-1.0,-2.5000000000001137,717.3430408674067,-395.290401054816
576.0,-1.0,-2.5,717.3430408673931,-395.29040105479004
577.0,-1.3000000000000682,-2.4999999999998863,333.06509593529347,19.216009085200685
578.0,-1.5,-2.5,265.6939258156075,91.88679917744396
579.0,-1.5,-2.7727272727273657,269.60167940763387,78.83692956273539
580.0,-1.5,-3.0,272.20090206993774,70.15687437402751
581.0,-1.5,-3.0,272.20090206993774,70.15687437402751
582.0,-1.4999999999999432,-3.0,272.20090206995167,70.15687437401174
583.0,-1.3000000000000398,-3.0,343.354247940027,-10.439089432867698
584.0,-1.0,-3.0,766.8352688025537,-490.11942790435546
585.0,-1.2999999999999543,-2.772727272727252,339.2288435326775,1.4510327143634913
586.0,-1.5,-2.5,265.6939258156075,91.88679917744396
587.0,-1.5000000000000568,-2.5,265.6939258155943,91.88679917745817
588.0,-1.2999999999999543,-2.5,333.0650959353518,19.216009085132477
589.0,-1.0,-2.5,717.3430408673931,-395.29040105479004
590.0,-1.0,-2.772727272727252,746.5585679163744,-451.26848316056316
591.0,-1.0,-3.0,766.8352688025537,-490.11942790435546
592.0,-2.5,-3.0,181.7208351947323,172.64436959925192
593.0,-3.0000000000001137,-3.0,170.2665508214173,185.61872909699215
594.0,-3.0000000000001137,-3.0,170.2665508214173,185.61872909699215
595.0,-2.9999999999998863,-3.0,170.2665508214211,185.61872909698778
596.0,-3.0000000000001137,-3.0,170.2665508214173,185.61872909699215
597.0,-3.0,-3.0,170.26655082141917,185.61872909698997
598.0,-2.5,-3.0,181.7208351947323,172.64436959925192
599.0,-1.0,-3.0,766.8352688025537,-490.11942790435546
600.0,-1.2999999999998408,-2.9999999999998863,343.35424794012755,-10.439089432978331
601.0,-1.5000000000000568,-3.0,272.2009020699239,70.15687437404317
602.0,-1.5000000000000568,-2.772727272727252,269.60167940761886,78.83692956275524
603.0,-1.4999999999999432,-2.5,265.69392581562073,91.88679917742965
604.0,-1.5,-2.5,265.6939258156075,91.88679917744396
605.0,-1.5,-2.5,265.6939258156075,91.88679917744396
606.0,-1.5,-2.5,265.6939258156075,91.88679917744396
607.0,-1.5000000000000568,-2.5,265.6939258155943,91.88679917745817
608.0,-1.5,-2.5,265.6939258156075,91.88679917744396
609.0,-1.5,-2.5,265.6939258156075,91.88679917744396
610.0,-1.5,-2.5000000000001137,265.69392581560936,91.8867991774378
611.0,-1.5000000000000568,-2.5,265.6939258155943,91.88679917745817
612.0,-1.250000000000071,-2.5,360.1985112200279,-10.051802697497445
613.0,-2.1666666666667425,-2.5,191.8872873222615,171.49929104653165
614.0,-2.5,-2.5,178.79752922710003,185.61872909698997
615.0,-2.4999999999998863,-2.5,178.79752922710347,185.61872909698627
616.0,-2.5,-2.5,178.79752922710003,185.61872909698997
617.0,-2.5,-2.2777777777778283,176.96726759260548,193.741885784582
618.0,-2.124999999999943,-2.0,188.4272512655108,192.7249483068707
619.0,-1.5,-2.0,255.2137156886616,126.88526376089553
620.0,-1.5,-2.0,255.2137156886616,126.88526376089553
621.0,-1.3000000000001537,-2.0,316.7592697166813,66.2121932905345
622.0,-1.0,-2.0,645.7492804176508,-258.11398133805403
623.0,-1.0,-2.0,645.7492804176508,-258.11398133805403
624.0,-1.0,-2.0,645.7492804176508,-258.11398133805403
625.0,-1.2999999999998408,-1.7857142857143344,306.9273857107774,94.54936711030454
626.0,-1.5,-1.5,237.62611390292474,185.61872909698997
627.0,-1.5000000000000568,-1.5000000000000568,237.6261139029168,185.6187290969899
628.0,-1.2499999999999574,-1.7857142857142208,329.8228699068756,73.36926782279212
629.0,-1.7000000000000457,-2.0,222.55360108368436,159.08238126666527
630.0,-2.0,-2.0,195.6356584703236,185.6187290969899
631.0,-2.0,-2.0,195.6356584703236,185.6187290969899
632.0,-2.0,-1.7857142857143913,191.8402414423692,201.01390489622648
633.0,-2.954545454545496,-1.5,156.71537722825397,251.28756146309019
634.0,-3.500000000000228,-1.5,150.60690586472916,256.2453235410371
635.0,-3.4999999999997726,-1.250000000000128,145.35311584170668,281.463801526084
636.0,-3.500000000000228,-0.8333333333333144,133.48137438225461,338.44880650861427
637.0,-3.5,-1.0,138.58615700320598,313.9455721614719
638.0,-3.500000000000228,-1.2999999999999543,146.52380092654258,275.84444941835875
639.0,-3.4999999999997726,-1.5,150.60690586473305,256.245323541034
640.0,-3.125000000000064,-1.5,154.42674933762794,253.14505933636005
641.0,-0.8333333333333712,-1.3000000000000114,1125.8880153413893,-410.17772917673244
642.0,-1.0,-1.0,414.1606922317066,185.6187290969899
643.0,-1.0,-2.071428571428896,657.6595201151671,-280.9344621929513
644.0,-1.0,-2.5,717.3430408673931,-395.29040105479004
645.0,-1.2999999999999543,-2.5,333.0650959353518,19.216009085132477
646.0,-1.5,-2.5,265.6939258156075,91.88679917744396
647.0,-1.5,-2.5,265.6939258156075,91.88679917744396
648.0,-1.2499999999999716,-2.2777777777778283,352.84682694552686,10.138235958336269
649.0,-1.7000000000000457,-2.0,222.55360108368436,159.08238126666527
650.0,-2.0,-2.0,195.6356584703236,185.6187290969899
651.0,-2.0,-2.0,195.6356584703236,185.6187290969899
652.0,-2.0,-2.9545454545457237,205.19133195307967,146.85848955977596
