T,R1,R2,k1,k2
550.0,-1.6666666666666572,-1.3000000000000682,202.39919022759963,395.81753124514245
551.0,-1.0,-1.5,557.6837500681283,-883.207726509147
552.0,-1.3000000000000114,-1.5,289.96078296794866,10.848086183108993
553.0,-1.4999999999999432,-1.299999999999983,225.4033748957157,329.51553061894384
554.0,-1.5,-1.0,205.4383823531897,585.5387640872055
555.0,-1.7857142857143344,-1.3000000000000114,190.96837461605642,428.76309983493763
556.0,-2.0,-1.4999999999999432,183.12646758915702,367.6192728092853
557.0,-2.0,-1.5,183.12646758915872,367.61927280925886
558.0,-2.0,-1.3000000000000114,176.52913238610273,470.3794692557497
559.0,-1.7857142857143344,-1.0,176.4409697822656,641.0989303997541
560.0,-1.5,-2.071428571428441,257.6251346854326,-83.68367853850157
561.0,-1.5,-2.5,267.2316556368253,-206.87393523999015
562.0,-2.5,-2.5000000000001137,177.77863279419682,190.14084507040695
563.0,-3.0,-2.5000000000001137,166.49902294997253,240.20256106372995
564.0,-3.0,-2.5,166.4990229499717,240.2025610637444
565.0,-3.0,-2.125000000000057,163.28949562241542,297.6427858854952
566.0,-3.0,-1.5,153.93187892779034,465.1140524860762
567.0,-3.0000000000001137,-1.4999999999999432,153.93187892778752,465.11405248610305
568.0,-2.499999999999858,-2.125,174.12428359045535,252.4214646040995
569.0,-1.0,-2.5,767.5821907597166,-2427.5541477967195
570.0,-1.6666666666666288,-2.5,235.4984712682194,-66.03416459505686
571.0,-2.0,-2.5,201.19233788122352,86.22499420272901
572.0,-2.0,-2.4999999999998863,201.19233788122236,86.22499420274715
573.0,-2.0,-2.0714285714286405,195.69833887416485,171.79960878054564
574.0,-1.6999999999999318,-1.0,183.16564469526548,628.2141926442644
575.0,-2.6428571428573377,-1.0,145.35676500171596,700.6574714618753
576.0,-3.0,-1.0,140.22080769936255,710.4981647028658
577.0,-3.0,-1.3000000000000682,149.2434755465641,549.0214060582093
578.0,-2.9999999999998863,-1.5,153.93187892779196,465.1140524860709
579.0,-3.0,-1.5,153.93187892779034,465.1140524860762
580.0,-3.0,-1.5,153.93187892779034,465.1140524860762
581.0,-2.5,-1.5,163.52395887632508,433.0814819274686
582.0,-1.5,-1.4999999999999432,236.2719766233568,190.1408450704585
583.0,-1.5,-1.3000000000000398,225.40337489570928,329.5155306189289
584.0,-1.5000000000000568,-1.0,205.4383823531816,585.5387640872212
585.0,-1.5,-1.2999999999999543,225.4033748957042,329.5155306189942
586.0,-1.5,-1.5,236.2719766233596,190.14084507042259
587.0,-1.3000000000000966,-1.5000000000000568,289.96078296792047,10.848086183170484
588.0,-1.0,-1.2999999999999543,500.6981621625612,-463.931201838624
589.0,-1.0,-1.0,411.8005541817674,190.14084507042259
590.0,-1.0,-1.0,411.8005541817674,190.14084507042259
591.0,-1.2999999999999543,-1.0,244.85970362730123,510.00598470928867
592.0,-1.5000000000000568,-2.5,267.2316556368115,-206.87393523992907
593.0,-1.5000000000000568,-3.0000000000001137,274.5114647516328,-300.22735195867233
594.0,-1.3000000000000966,-3.0000000000001137,349.75224003954537,-650.8961225587756
595.0,-1.0,-2.9999999999998863,830.8714997996528,-2893.2108606314882
596.0,-1.0,-3.0000000000001137,830.871499799677,-2893.210860631667
597.0,-1.0,-3.0,830.8714997996649,-2893.210860631578
598.0,-1.0,-2.5,767.5821907597166,-2427.5541477967195
599.0,-1.0,-1.0,411.8005541817674,190.14084507042259
600.0,-1.6666666666666288,-1.2999999999998408,202.39919022759187,395.81753124528564
601.0,-2.0,-1.5000000000000568,183.1264675891604,367.61927280923277
602.0,-2.0,-1.5000000000000568,183.1264675891604,367.61927280923277
603.0,-2.0,-1.4999999999999432,183.12646758915702,367.6192728092853
604.0,-1.6666666666666572,-1.5,211.11963095209381,274.13663031743647
605.0,-1.0,-1.5,557.6837500681283,-883.207726509147
606.0,-1.6666666666666288,-1.5,211.11963095209728,274.136630317425
607.0,-2.0,-1.5000000000000568,183.1264675891604,367.61927280923277
608.0,-2.0,-1.5,183.12646758915872,367.61927280925886
609.0,-2.0,-1.5,183.12646758915872,367.61927280925886
610.0,-2.2777777777777146,-1.5,170.34849607025845,410.2910683396513
611.0,-2.5,-1.5000000000000568,163.52395887632642,433.08148192744574
612.0,-2.4999999999998863,-1.250000000000071,156.73932508954297,548.7111527638409
613.0,-2.5,-2.1666666666667425,174.6039866431568,244.24594506589233
614.0,-2.5000000000001137,-2.5,177.7786327941924,190.14084507043816
615.0,-4.166666666666515,-2.4999999999998863,155.15764219015068,290.5384317553294
616.0,-5.0,-2.5,151.63777944090683,306.16045873334895
617.0,-5.000000000000227,-2.5,151.6377794409061,306.16045873335224
618.0,-5.0,-2.124999999999943,148.97104107048014,357.40393999911356
619.0,-5.0,-1.5,141.143229945859,507.8215052034152
620.0,-5.0,-1.5,141.143229945859,507.8215052034152
621.0,-5.0,-1.3000000000001537,137.19149076694552,583.7572905911057
622.0,-5.000000000000227,-1.0,129.52980995928365,730.9825307142479
623.0,-5.0,-1.0,129.5298099592842,730.9825307142469
624.0,-4.999999999999773,-1.0,129.5298099592847,730.9825307142459
625.0,-4.25,-1.2999999999998408,139.69711868723914,576.5356417331011
626.0,-3.0,-1.5,153.93187892779034,465.1140524860762
627.0,-3.0,-1.5000000000000568,153.93187892779153,465.1140524860549
628.0,-3.0,-1.2499999999999574,147.90518661029188,572.9724772068913
629.0,-3.0000000000001137,-1.7000000000000457,157.6730080279498,398.15986432403145
630.0,-3.0,-2.0,161.90369644722463,322.4441376288876
631.0,-3.2692307692307168,-2.0,158.2806716639622,337.14004668249123
632.0,-3.5,-2.0,155.8737039725854,346.90331919744875
633.0,-3.5,-2.954545454545496,162.5250733566435,224.303888933765
634.0,-3.500000000000228,-3.500000000000228,164.37851609720053,190.1408450704225
635.0,-3.4999999999997726,-3.4999999999997726,164.37851609720403,190.14084507042267
636.0,-3.500000000000228,-3.500000000000228,164.37851609720053,190.1408450704225
637.0,-3.5,-3.5,164.3785160972023,190.14084507042259
638.0,-2.900000000000261,-3.500000000000228,172.93356798267797,149.07613051401532
639.0,-1.5000000000000568,-3.4999999999997726,279.28191338965576,-361.40171417292885
640.0,-1.5,-3.125000000000064,275.889615208552,-317.9002128642021
641.0,-1.7857142857143344,-0.8333333333333712,167.44846053492253,772.5354768264785
642.0,-2.0,-1.0,164.0437131675896,664.852554542806
643.0,-2.0,-1.0,164.0437131675896,664.852554542806
644.0,-2.0,-1.0,164.0437131675896,664.852554542806
645.0,-2.0,-1.2999999999999543,176.52913238610066,470.379469255782
646.0,-2.0,-1.5,183.12646758915872,367.61927280925886
647.0,-2.0,-1.5,183.12646758915872,367.61927280925886
648.0,-2.0,-1.2499999999999716,174.65982578743964,499.4958181125369
649.0,-4.142857142856883,-1.7000000000000457,147.58701567876955,435.32557985481344
650.0,-4.999999999999773,-2.0,147.8167619920974,379.58432296601603
651.0,-5.0,-2.0,147.81676199209676,379.58432296601853
652.0,-5.000000000000227,-2.0,147.81676199209602,379.5843229660215
653.0,-5.0,-1.7857142857142776,145.41914063925918,425.6565084638673
654.0,-5.0,-1.5,141.143229945859,507.8215052034152
655.0,-5.0,-1.4999999999999432,141.14322994585797,507.82150520343464
656.0,-5.0,-1.3000000000000114,137.1914907669424,583.7572905911661
657.0,-5.000000000000227,-1.0,129.52980995928365,730.9825307142479
658.0,-5.0,-1.0,129.5298099592842,730.9825307142469
659.0,-4.38235294117635,-1.0,131.27922784677017,727.6305782412069
660.0,-3.500000000000228,-1.0,135.6751176316874,719.2078830457559
661.0,-3.5,-1.0,135.675117631689,719.2078830457529
662.0,-3.500000000000228,-2.500000000000228,160.12860735012205,268.47605109781387
