T,R1,R2,k1,k2
550.0,-1.6666666666666572,-0.05833333333333,207.17960234005812,329.1139240506329
551.0,-1.0,-0.0583333333333371,392.912154419922,329.1139240506329
552.0,-1.3000000000000114,-0.0583333333333335,261.2040852427057,329.1139240506329
553.0,-1.4999999999999432,-0.0583333333333335,225.43469264775229,329.1139240506329
554.0,-1.5,-0.0583333333333335,225.43469264774464,329.11392405063293
555.0,-1.7857142857143344,-0.05833333333333,197.78608368626578,329.1139240506329
556.0,-2.0,-0.0583333333333335,185.59855991338378,329.11392405063293
557.0,-2.0,-0.05833333333333,185.59855991338378,329.11392405063293
558.0,-2.0,-0.0583333333333335,185.59855991338378,329.11392405063293
559.0,-1.7857142857143344,-0.0583333333333335,197.78608368626578,329.1139240506329
560.0,-1.5,-0.0583333333333371,225.43469264774464,329.11392405063293
561.0,-1.5,-0.0627777777777751,225.43469264774464,329.11392405063293
562.0,-2.5,-0.0666666666666664,169.6243118462719,329.11392405063293
563.0,-3.0,-0.0666666666666664,161.53101577168786,329.1139240506329
564.0,-3.0,-0.0666666666666664,161.53101577168786,329.1139240506329
565.0,-3.0,-0.0666666666666664,161.53101577168786,329.1139240506329
566.0,-3.0,-0.0666666666666664,161.53101577168786,329.1139240506329
567.0,-3.0000000000001137,-0.0666666666666664,161.5310157716865,329.1139240506329
568.0,-2.499999999999858,-0.0666666666666664,169.624311846275,329.1139240506329
569.0,-1.0,-0.0627777777777769,392.912154419922,329.1139240506329
570.0,-1.6666666666666288,-0.0583333333333335,207.17960234006068,329.1139240506329
571.0,-2.0,-0.0583333333333371,185.59855991338378,329.11392405063293
572.0,-2.0,-0.05833333333333,185.59855991338378,329.11392405063293
573.0,-2.0,-0.0583333333333335,185.59855991338378,329.11392405063293
574.0,-1.6999999999999318,-0.0583333333333335,204.30353864082028,329.11392405063293
575.0,-2.6428571428573377,-0.0583333333333335,166.7934563198662,329.1139240506329
576.0,-3.0,-0.05833333333333,161.53101577168786,329.1139240506329
577.0,-3.0,-0.0583333333333335,161.53101577168786,329.1139240506329
578.0,-2.9999999999998863,-0.0583333333333371,161.53101577168923,329.1139240506329
579.0,-3.0,-0.05833333333333,161.53101577168786,329.1139240506329
580.0,-3.0,-0.0583333333333371,161.53101577168786,329.1139240506329
581.0,-2.5,-0.0583333333333335,169.6243118462719,329.11392405063293
582.0,-1.5,-0.0583333333333335,225.43469264774464,329.11392405063293
583.0,-1.5,-0.0627777777777787,225.43469264774464,329.11392405063293
584.0,-1.5000000000000568,-0.0666666666666664,225.43469264773708,329.1139240506329
585.0,-1.5,-0.0666666666666664,225.43469264774464,329.11392405063293
586.0,-1.5,-0.0666666666666664,225.43469264774464,329.11392405063293
587.0,-1.3000000000000966,-0.0666666666666699,261.20408524268527,329.1139240506329
588.0,-1.0,-0.0666666666666664,392.912154419922,329.1139240506329
589.0,-1.0,-0.0666666666666664,392.912154419922,329.1139240506329
590.0,-1.0,-0.0666666666666664,392.912154419922,329.1139240506329
591.0,-1.2999999999999543,-0.0710784313725518,261.2040852427192,329.1139240506329
592.0,-1.5000000000000568,-0.0750000000000028,225.43469264773708,329.1139240506329
593.0,-1.5000000000000568,-0.0750000000000028,225.43469264773708,329.1139240506329
594.0,-1.3000000000000966,-0.0750000000000028,261.20408524268527,329.1139240506329
595.0,-1.0,-0.0749999999999992,392.912154419922,329.1139240506329
596.0,-1.0,-0.0749999999999992,392.912154419922,329.1139240506329
597.0,-1.0,-0.0750000000000028,392.912154419922,329.1139240506329
598.0,-1.0,-0.0749999999999992,392.912154419922,329.1139240506329
599.0,-1.0,-0.0749999999999957,392.912154419922,329.1139240506329
600.0,-1.6666666666666288,-0.0710784313725483,207.17960234006068,329.1139240506329
601.0,-2.0,-0.0666666666666664,185.59855991338378,329.11392405063293
602.0,-2.0,-0.0666666666666699,185.59855991338378,329.11392405063293
603.0,-2.0,-0.0666666666666664,185.59855991338378,329.11392405063293
604.0,-1.6666666666666572,-0.0666666666666664,207.17960234005812,329.1139240506329
605.0,-1.0,-0.0666666666666664,392.912154419922,329.1139240506329
606.0,-1.6666666666666288,-0.0666666666666664,207.17960234006068,329.1139240506329
607.0,-2.0,-0.0666666666666664,185.59855991338378,329.11392405063293
608.0,-2.0,-0.0710784313725518,185.59855991338378,329.11392405063293
609.0,-2.0,-0.0749999999999992,185.59855991338378,329.11392405063293
