T,R1,R2,k1,k2
550.0,-3.0,-2.5,167.27320980438986,198.049586335123
551.0,-3.0,-2.5,167.27320980438986,198.049586335123
552.0,-3.0,-2.7727272727273657,171.06595145847976,188.35274533341095
553.0,-3.0,-2.9999999999998863,173.62182622543924,181.81818181818488
554.0,-3.0,-3.0,173.62182622544043,181.81818181818187
555.0,-3.0000000000001137,-3.0,173.62182622543787,181.81818181818474
556.0,-3.0,-2.9999999999998863,173.62182622543924,181.81818181818488
557.0,-3.0,-3.0,173.62182622544043,181.81818181818187
558.0,-3.0,-2.7727272727271384,171.06595145847683,188.3527453334183
559.0,-3.0,-2.5,167.27320980438986,198.049586335123
560.0,-3.0,-2.5000000000001137,167.27320980439154,198.04958633511862
561.0,-3.0,-2.5,167.27320980438986,198.049586335123
562.0,-3.0000000000001137,-2.5,167.27320980438728,198.04958633512587
563.0,-3.0,-2.772727272727252,171.06595145847834,188.3527453334146
564.0,-3.0,-2.9999999999998863,173.62182622543924,181.81818181818488
565.0,-2.7727272727273657,-2.9999999999998863,179.6813434767278,174.954518175947
566.0,-2.5000000000001137,-3.0,189.88897729366062,163.39224973159665
567.0,-2.5,-3.0,189.8889772936658,163.39224973159082
568.0,-2.4999999999998863,-3.0,189.8889772936709,163.39224973158503
569.0,-2.5000000000001137,-2.772727272727252,186.83594179393626,170.825464698978
570.0,-3.083333333333485,-2.5,165.57126468114043,199.88541160846265
571.0,-3.5000000000001137,-2.5,159.04260734444145,206.92763287397756
572.0,-3.4999999999998863,-2.5,159.04260734444426,206.92763287397455
573.0,-3.500000000000228,-2.5,159.04260734444,206.92763287397912
574.0,-3.4999999999998863,-2.5,159.04260734444426,206.92763287397455
575.0,-3.500000000000228,-2.5000000000001137,159.04260734444162,206.9276328739748
576.0,-3.4999999999998863,-2.5,159.04260734444426,206.92763287397455
577.0,-3.083333333333144,-2.4999999999998863,165.57126468114532,199.88541160846006
578.0,-2.5,-2.5,182.3209162295458,181.8181818181818
579.0,-2.5,-2.7727272727273657,186.83594179394302,170.82546469896823
580.0,-2.5000000000001137,-3.0,189.88897729366062,163.39224973159665
581.0,-2.5,-3.0,189.8889772936658,163.39224973159082
582.0,-3.083333333333485,-3.0,171.78894748062046,183.89429822807838
583.0,-3.5000000000001137,-3.0,164.7711347757229,191.84343079311856
584.0,-3.4999999999998863,-3.0,164.771134775726,191.84343079311503
585.0,-3.5000000000001137,-2.772727272727252,162.46747030534283,197.9093772016068
586.0,-3.4999999999997726,-2.5,159.04260734444568,206.92763287397304
587.0,-3.500000000000228,-2.5,159.04260734444,206.92763287397912
588.0,-3.5,-2.5,159.0426073444429,206.92763287397594
589.0,-2.954545454545155,-2.5,168.2742890163573,196.9697592050709
590.0,-2.0,-2.772727272727252,221.99020308965825,131.7538742845542
591.0,-2.0,-3.0,226.31350893384194,122.13389149339001
592.0,-2.0,-3.0,226.31350893384194,122.13389149339001
593.0,-2.599999999999909,-3.0,185.67247361019201,168.16831716888817
594.0,-3.0,-3.0,173.62182622544043,181.81818181818187
595.0,-3.0,-3.0,173.62182622544043,181.81818181818187
596.0,-3.0,-3.0,173.62182622544043,181.81818181818187
597.0,-3.0000000000001137,-3.0,173.62182622543787,181.81818181818474
598.0,-3.0,-3.0,173.62182622544043,181.81818181818187
599.0,-3.0,-3.0,173.62182622544043,181.81818181818187
600.0,-3.0,-2.9999999999998863,173.62182622543924,181.81818181818488
601.0,-3.0,-3.0,173.62182622544043,181.81818181818187
602.0,-3.0,-2.772727272727252,171.06595145847834,188.3527453334146
603.0,-3.0,-2.5,167.27320980438986,198.049586335123
604.0,-3.0000000000001137,-2.5,167.27320980438728,198.04958633512587
605.0,-2.7727272727273657,-2.5,172.89051845453977,191.99040319976683
606.0,-2.5000000000001137,-2.5,182.32091622954104,181.8181818181869
607.0,-2.5,-2.5,182.3209162295458,181.8181818181818
608.0,-2.5,-2.5,182.3209162295458,181.8181818181818
609.0,-2.5000000000001137,-2.5,182.32091622954104,181.8181818181869
610.0,-2.2777777777778283,-2.5000000000001137,193.51283026817572,169.74587797683415
611.0,-2.0,-2.5,215.6451281895284,145.872586572748
612.0,-2.0,-2.5,215.6451281895284,145.872586572748
613.0,-2.0,-2.5,215.6451281895284,145.872586572748
614.0,-2.2777777777777146,-2.5,193.5128302681802,169.74587797683236
615.0,-2.5000000000001137,-2.5,182.32091622954104,181.8181818181869
616.0,-2.5,-2.5,182.3209162295458,181.8181818181818
617.0,-2.5000000000001137,-2.2777777777778283,177.76596052619746,192.90811670853117
618.0,-2.5,-2.0,170.63836053951425,210.26165973393114
619.0,-2.125000000000057,-2.0,189.63137150619818,191.53789794439032
620.0,-1.5,-2.0,292.19639918084454,90.42685507254865
621.0,-1.5,-2.0,292.19639918084454,90.42685507254865
622.0,-1.7857142857142208,-2.0,224.3071747226334,157.35366668035275
623.0,-2.0,-2.0,199.49085791994096,181.81818181818178
624.0,-2.0,-2.0,199.49085791994096,181.81818181818178
625.0,-2.0,-1.7857142857143344,190.16956561847496,202.55940965709368
626.0,-1.7000000000000028,-1.5,204.3585378495141,212.61938395274802
627.0,-0.8333333333333144,-1.5000000000000568,-1835.6503966164516,1868.3329548407294
628.0,-1.0,-1.7857142857142208,1962.0671486757008,-1436.5833319876062
629.0,-1.0,-2.0,3788.415246094979,-3356.228810453695
630.0,-1.0,-2.0,3788.415246094979,-3356.228810453695
631.0,-0.8333333333333286,-2.0,-800.3995467511439,1167.5339161769473
632.0,-1.2499999999998863,-1.7857142857143913,425.18503039191944,-14.848129548989663
633.0,-1.5,-1.5,242.3087779463626,181.81818181818176
634.0,-1.5,-1.5,242.3087779463626,181.81818181818176
635.0,-1.250000000000128,-1.250000000000128,294.6441657028852,181.81818181818187
636.0,-2.166666666666515,-0.8333333333333144,123.0586889554748,341.57465903724164
637.0,-2.5,-1.0,125.56117984357627,320.0109156029344
638.0,-2.5,-1.2999999999999543,142.5616986864873,278.6198111995354
639.0,-2.5,-1.5,152.3239233862252,254.85175650132334
640.0,-2.5,-1.5,152.3239233862252,254.85175650132334
641.0,-2.2777777777778283,-1.3000000000000114,149.31415769634532,273.88986847481607
642.0,-2.0,-1.0,140.51537241996533,313.0471940736026
643.0,-2.0,-2.071428571428896,202.23992729531417,175.7011035831581
644.0,-2.0,-2.5,215.6451281895284,145.872586572748
645.0,-2.2777777777777146,-2.5,193.5128302681802,169.74587797683236
646.0,-2.5,-2.5,182.3209162295458,181.8181818181818
647.0,-2.5,-2.5,182.3209162295458,181.8181818181818
648.0,-2.5,-2.2777777777778283,177.7659605262021,192.90811670852628
649.0,-2.5,-2.0,170.63836053951425,210.26165973393114
650.0,-2.772727272727252,-2.0,162.3503146884747,218.4322123907936
651.0,-3.0,-2.0,157.38721160021,223.3249574181412
652.0,-3.0,-2.9545454545457237,173.14814365914563,183.02923834392504
653.0,-3.0,-3.500000000000228,177.8543710307469,170.99690324113425
654.0,-3.0,-3.4999999999997726,177.85437103074375,170.99690324114232
655.0,-2.9999999999998863,-3.5,177.85437103074807,170.99690324113521
656.0,-2.6000000000000227,-3.5,190.52115251245658,156.21989292824918
657.0,-2.0,-3.500000000000228,233.55851726016382,106.0126967565376
658.0,-2.0,-3.5,233.55851726016115,106.01269675654366
659.0,-2.0,-2.900000000000091,224.50603724396072,126.15577825755827
660.0,-2.0,-1.5,174.90556361390543,236.524028839843
661.0,-2.0,-1.5,174.90556361390543,236.524028839843
662.0,-2.0,-3.318181818181756,231.2270843046462,111.20047336063932
663.0,-2.0,-4.0,238.63878428768967,94.70836550154061
664.0,-2.954545454545496,-4.0,181.95501508638563,162.11276200433701
665.0,-3.5,-4.0,171.2091689263675,174.89097498371055
666.0,-3.5,-4.0,171.2091689263675,174.89097498371055
667.0,-3.4999999999997726,-4.0,171.20916892637086,174.89097498370657
668.0,-3.4999999999997726,-4.0,171.20916892637086,174.89097498370657
669.0,-3.5,-4.0,171.2091689263675,174.89097498371055
670.0,-3.5,-3.5714285714287826,169.01373355099366,180.67193549317219
671.0,-3.2692307692308304,-3.0,168.27357862977178,187.87618463420995
672.0,-3.0,-3.0,173.62182622544043,181.81818181818187
673.0,-3.0000000000001137,-3.0,173.62182622543787,181.81818181818474
674.0,-3.0,-3.0,173.62182622544043,181.81818181818187
675.0,-3.0,-3.0,173.62182622544043,181.81818181818187
676.0,-3.0,-2.7727272727273657,171.06595145847976,188.35274533341095
677.0,-3.2692307692307168,-2.5,162.3033390019059,203.41040220385872
678.0,-3.5,-2.5000000000001137,159.04260734444446,206.92763287397182
679.0,-3.5,-2.5,159.0426073444429,206.92763287397594
680.0,-3.4999999999997726,-2.5,159.04260734444568,206.92763287397304
681.0,-3.5,-2.5,159.0426073444429,206.92763287397594
682.0,-3.5,-2.5,159.0426073444429,206.92763287397594
