T,R1,R2,k1,k2
550.0,-0.0499999999999989,-2.5,-358.9109654499015,765.625
551.0,-0.0500000000000007,-2.5,-358.9109654499015,765.625
552.0,-0.0500000000000007,-2.7727272727273657,-348.32881758137967,765.6250000000001
553.0,-0.0500000000000007,-2.9999999999998863,-341.7862226805223,765.6249999999999
554.0,-0.0462121212121218,-3.0,-341.7862226805194,765.6249999999999
555.0,-0.041666666666666,-3.0,-341.7862226805194,765.6249999999999
556.0,-0.041666666666666,-2.9999999999998863,-341.7862226805223,765.6249999999999
557.0,-0.0416666666666678,-3.0,-341.7862226805194,765.6249999999999
558.0,-0.041666666666666,-2.7727272727271384,-348.328817581387,765.625
559.0,-0.04621212121212,-2.5,-358.9109654499015,765.625
560.0,-0.0499999999999989,-2.5000000000001137,-358.91096544989625,765.625
561.0,-0.0500000000000007,-2.5,-358.9109654499015,765.625
562.0,-0.0500000000000007,-2.5,-358.9109654499015,765.625
563.0,-0.0500000000000007,-2.772727272727252,-348.32881758138336,765.6250000000001
564.0,-0.0499999999999989,-2.9999999999998863,-341.7862226805223,765.6249999999999
565.0,-0.0499999999999989,-2.9999999999998863,-341.7862226805223,765.6249999999999
566.0,-0.0500000000000007,-3.0,-341.7862226805194,765.6249999999999
567.0,-0.0500000000000007,-3.0,-341.7862226805194,765.6249999999999
568.0,-0.0500000000000007,-3.0,-341.7862226805194,765.6249999999999
569.0,-0.0499999999999989,-2.772727272727252,-348.32881758138336,765.6250000000001
570.0,-0.0499999999999989,-2.5,-358.9109654499015,765.625
571.0,-0.0500000000000007,-2.5,-358.9109654499015,765.625
572.0,-0.0500000000000007,-2.5,-358.9109654499015,765.625
573.0,-0.0500000000000007,-2.5,-358.9109654499015,765.625
574.0,-0.0499999999999989,-2.5,-358.9109654499015,765.625
575.0,-0.0499999999999989,-2.5000000000001137,-358.91096544989625,765.625
576.0,-0.0500000000000007,-2.5,-358.9109654499015,765.625
577.0,-0.0544871794871788,-2.4999999999998863,-358.9109654499067,765.625
578.0,-0.05833333333333,-2.5,-358.9109654499015,765.625
579.0,-0.0583333333333335,-2.7727272727273657,-348.32881758137967,765.6250000000001
580.0,-0.05833333333333,-3.0,-341.7862226805194,765.6249999999999
581.0,-0.0583333333333371,-3.0,-341.7862226805194,765.6249999999999
582.0,-0.0583333333333335,-3.0,-341.7862226805194,765.6249999999999
583.0,-0.0583333333333335,-3.0,-341.7862226805194,765.6249999999999
584.0,-0.0544871794871824,-3.0,-341.7862226805194,765.6249999999999
585.0,-0.0499999999999989,-2.772727272727252,-348.32881758138336,765.6250000000001
586.0,-0.0500000000000007,-2.5,-358.9109654499015,765.625
587.0,-0.0500000000000007,-2.5,-358.9109654499015,765.625
588.0,-0.0500000000000007,-2.5,-358.9109654499015,765.625
589.0,-0.0499999999999989,-2.5,-358.9109654499015,765.625
590.0,-0.0499999999999989,-2.772727272727252,-348.32881758138336,765.6250000000001
591.0,-0.0500000000000007,-3.0,-341.7862226805194,765.6249999999999
592.0,-0.0500000000000007,-3.0,-341.7862226805194,765.6249999999999
593.0,-0.0500000000000007,-3.0,-341.7862226805194,765.6249999999999
594.0,-0.0499999999999989,-3.0,-341.7862226805194,765.6249999999999
595.0,-0.0499999999999989,-3.0,-341.7862226805194,765.6249999999999
596.0,-0.0544871794871753,-3.0,-341.7862226805194,765.6249999999999
597.0,-0.0583333333333335,-3.0,-341.7862226805194,765.6249999999999
598.0,-0.0583333333333335,-3.0,-341.7862226805194,765.6249999999999
599.0,-0.05833333333333,-3.0,-341.7862226805194,765.6249999999999
600.0,-0.0583333333333371,-2.9999999999998863,-341.7862226805223,765.6249999999999
601.0,-0.0583333333333335,-3.0,-341.7862226805194,765.6249999999999
602.0,-0.0583333333333335,-2.772727272727252,-348.32881758138336,765.6250000000001
603.0,-0.05833333333333,-2.5,-358.9109654499015,765.625
604.0,-0.0583333333333335,-2.5,-358.9109654499015,765.625
605.0,-0.0583333333333371,-2.5,-358.9109654499015,765.625
606.0,-0.05833333333333,-2.5,-358.9109654499015,765.625
607.0,-0.0583333333333371,-2.5,-358.9109654499015,765.625
608.0,-0.05833333333333,-2.5,-358.9109654499015,765.625
609.0,-0.0583333333333335,-2.5,-358.9109654499015,765.625
610.0,-0.0627777777777787,-2.5000000000001137,-358.91096544989625,765.625
611.0,-0.0666666666666664,-2.5,-358.9109654499015,765.625
612.0,-0.0666666666666664,-2.5,-358.9109654499015,765.625
613.0,-0.0666666666666664,-2.5,-358.9109654499015,765.625
614.0,-0.0666666666666664,-2.5,-358.9109654499015,765.625
615.0,-0.0666666666666664,-2.5,-358.9109654499015,765.625
616.0,-0.0666666666666664,-2.5,-358.9109654499015,765.625
617.0,-0.0666666666666699,-2.2777777777778283,-370.8570824394931,765.625
618.0,-0.0666666666666664,-2.0,-392.71114853509175,765.6249999999992
619.0,-0.0666666666666664,-2.0,-392.71114853509175,765.6249999999992
620.0,-0.0666666666666664,-2.0,-392.71114853509175,765.6249999999992
621.0,-0.0666666666666664,-2.0,-392.71114853509175,765.6249999999992
622.0,-0.0666666666666664,-2.0,-392.71114853509175,765.6249999999992
623.0,-0.0666666666666664,-2.0,-392.71114853509175,765.6249999999992
624.0,-0.0666666666666664,-2.0,-392.71114853509175,765.6249999999992
625.0,-0.0666666666666664,-1.7857142857143344,-418.4989373028537,765.625
626.0,-0.0627777777777751,-1.5,-477.00109909617373,765.625
627.0,-0.0583333333333335,-1.5000000000000568,-477.00109909615776,765.6249999999999
628.0,-0.0583333333333371,-1.7857142857142208,-418.49893730287033,765.625
629.0,-0.05833333333333,-2.0,-392.71114853509175,765.6249999999992
630.0,-0.0583333333333371,-2.0,-392.71114853509175,765.6249999999992
631.0,-0.0583333333333335,-2.0,-392.71114853509175,765.6249999999992
632.0,-0.0583333333333335,-1.7857142857143913,-418.49893730284526,765.625
633.0,-0.0583333333333335,-1.5,-477.00109909617373,765.625
634.0,-0.0583333333333335,-1.5,-477.00109909617373,765.625
635.0,-0.0583333333333371,-1.250000000000128,-580.0268239298478,765.625
636.0,-0.05833333333333,-0.8333333333333144,-1290.8734362796242,765.625
637.0,-0.0583333333333335,-1.0,-831.3695079727712,765.625
638.0,-0.05833333333333,-1.2999999999999543,-552.6861650521306,765.625
639.0,-0.0583333333333335,-1.5,-477.00109909617373,765.625
640.0,-0.0627777777777787,-1.5,-477.00109909617373,765.625
641.0,-0.0666666666666664,-1.3000000000000114,-552.6861650521017,765.6249999999999
642.0,-0.0666666666666664,-1.0,-831.3695079727712,765.625
643.0,-0.0666666666666664,-2.071428571428896,-386.11306322182384,765.625
644.0,-0.0666666666666664,-2.5,-358.9109654499015,765.625
645.0,-0.0666666666666664,-2.5,-358.9109654499015,765.625
646.0,-0.0666666666666664,-2.5,-358.9109654499015,765.625
647.0,-0.0666666666666699,-2.5,-358.9109654499015,765.625
648.0,-0.0666666666666664,-2.2777777777778283,-370.8570824394931,765.625
649.0,-0.0666666666666664,-2.0,-392.71114853509175,765.6249999999992
650.0,-0.0666666666666664,-2.0,-392.71114853509175,765.6249999999992
651.0,-0.0666666666666664,-2.0,-392.71114853509175,765.6249999999992
652.0,-0.0666666666666664,-2.9545454545457237,-342.9657416628642,765.6249999999999
653.0,-0.0666666666666664,-3.500000000000228,-331.8579459431784,765.625
654.0,-0.0666666666666664,-3.4999999999997726,-331.85794594318537,765.625
