T,R1,R2,k1,k2
550.0,-0.041666666666666,-1.6666666666666572,64.49982365521556,2320.0
551.0,-0.0416666666666678,-1.0,122.32268228065705,2320.0
552.0,-0.041666666666666,-1.3000000000000114,81.31890034484793,2320.0
553.0,-0.041666666666666,-1.4999999999999432,70.18305739230749,2320.0
554.0,-0.0416666666666678,-1.5,70.18305739230513,2320.0
555.0,-0.041666666666666,-1.7857142857143344,61.57540305671903,2320.0
556.0,-0.041666666666666,-2.0,57.78114375094837,2320.0
557.0,-0.0416666666666678,-2.0,57.78114375094837,2320.0
558.0,-0.041666666666666,-2.0,57.78114375094837,2320.0
559.0,-0.041666666666666,-1.7857142857143344,61.57540305671903,2320.0
560.0,-0.04621212121212,-1.5,70.18305739230513,2320.0
561.0,-0.0500000000000007,-1.5,70.18305739230513,2320.0
562.0,-0.0500000000000007,-2.5,52.80798919463145,2320.0
563.0,-0.0500000000000007,-3.0,50.28835809338386,2320.0
564.0,-0.0499999999999989,-3.0,50.28835809338386,2320.0
565.0,-0.0499999999999989,-3.0,50.28835809338386,2320.0
566.0,-0.0500000000000007,-3.0,50.28835809338386,2320.0
567.0,-0.0500000000000007,-3.0000000000001137,50.28835809338344,2320.0
568.0,-0.0500000000000007,-2.499999999999858,52.80798919463244,2320.0
569.0,-0.0499999999999989,-1.0,122.32268228065705,2320.0
570.0,-0.0499999999999989,-1.6666666666666288,64.4998236552164,2320.0
571.0,-0.0500000000000007,-2.0,57.78114375094837,2320.0
572.0,-0.0462121212121235,-2.0,57.78114375094837,2320.0
573.0,-0.041666666666666,-2.0,57.78114375094837,2320.0
574.0,-0.041666666666666,-1.6999999999999318,63.60443820545724,2319.9999999999995
575.0,-0.0416666666666678,-2.6428571428573377,51.92667809940662,2319.9999999999995
576.0,-0.041666666666666,-3.0,50.28835809338386,2320.0
577.0,-0.04621212121212,-3.0,50.28835809338386,2320.0
578.0,-0.0500000000000007,-2.9999999999998863,50.288358093384296,2320.0
579.0,-0.0499999999999989,-3.0,50.28835809338386,2320.0
580.0,-0.0499999999999989,-3.0,50.28835809338386,2320.0
581.0,-0.0500000000000007,-2.5,52.80798919463145,2320.0
582.0,-0.0500000000000007,-1.5,70.18305739230513,2320.0
583.0,-0.0544871794871788,-1.5,70.18305739230513,2320.0
584.0,-0.0583333333333335,-1.5000000000000568,70.18305739230277,2320.0
585.0,-0.0583333333333371,-1.5,70.18305739230513,2320.0
586.0,-0.0583333333333335,-1.5,70.18305739230513,2320.0
587.0,-0.0583333333333371,-1.3000000000000966,81.31890034484162,2320.0
588.0,-0.05833333333333,-1.0,122.32268228065705,2320.0
589.0,-0.0583333333333371,-1.0,122.32268228065705,2320.0
590.0,-0.0544871794871824,-1.0,122.32268228065705,2320.0
591.0,-0.0500000000000007,-1.2999999999999543,81.31890034485214,2320.0
592.0,-0.0500000000000007,-1.5000000000000568,70.18305739230277,2320.0
593.0,-0.0500000000000007,-1.5000000000000568,70.18305739230277,2320.0
594.0,-0.0499999999999989,-1.3000000000000966,81.31890034484162,2320.0
595.0,-0.0499999999999989,-1.0,122.32268228065705,2320.0
596.0,-0.0500000000000007,-1.0,122.32268228065705,2320.0
597.0,-0.0500000000000007,-1.0,122.32268228065705,2320.0
598.0,-0.0500000000000007,-1.0,122.32268228065705,2320.0
599.0,-0.0499999999999989,-1.0,122.32268228065705,2320.0
600.0,-0.0499999999999989,-1.6666666666666288,64.4998236552164,2320.0
601.0,-0.0500000000000007,-2.0,57.78114375094837,2320.0
602.0,-0.0544871794871753,-2.0,57.78114375094837,2320.0
603.0,-0.05833333333333,-2.0,57.78114375094837,2320.0
604.0,-0.0583333333333371,-1.6666666666666572,64.49982365521556,2320.0
605.0,-0.05833333333333,-1.0,122.32268228065705,2320.0
606.0,-0.0583333333333335,-1.6666666666666288,64.4998236552164,2320.0
607.0,-0.0583333333333335,-2.0,57.78114375094837,2320.0
608.0,-0.0583333333333371,-2.0,57.78114375094837,2320.0
609.0,-0.0583333333333335,-2.0,57.78114375094837,2320.0
610.0,-0.05833333333333,-2.2777777777777146,54.5656686127394,2320.0
611.0,-0.0583333333333371,-2.5,52.80798919463145,2320.0
612.0,-0.05833333333333,-2.4999999999998863,52.80798919463223,2320.0
613.0,-0.0583333333333335,-2.5,52.80798919463145,2320.0
614.0,-0.0583333333333335,-2.5000000000001137,52.80798919463069,2320.0
615.0,-0.0583333333333371,-4.166666666666515,47.66810375150574,2320.0
616.0,-0.0583333333333335,-5.0,46.83648483865746,2320.0
617.0,-0.05833333333333,-5.000000000000227,46.83648483865729,2320.0
618.0,-0.0583333333333335,-5.0,46.83648483865746,2320.0
619.0,-0.05833333333333,-5.0,46.83648483865746,2320.0
620.0,-0.0583333333333371,-5.0,46.83648483865746,2320.0
621.0,-0.0583333333333335,-5.0,46.83648483865746,2320.0
622.0,-0.0583333333333335,-5.000000000000227,46.83648483865729,2320.0
623.0,-0.0583333333333335,-5.0,46.83648483865746,2320.0
624.0,-0.0583333333333335,-4.999999999999773,46.836484838657654,2320.0
