T,R1,R2,k1,k2
550.0,-0.041666666666666,-1.3000000000000682,-465.2163934394791,2320.0
551.0,-0.0416666666666678,-1.5,-401.50947322388953,2320.0
552.0,-0.041666666666666,-1.5,-401.50947322388953,2320.0
553.0,-0.041666666666666,-1.299999999999983,-465.21639343951523,2320.0
554.0,-0.0416666666666678,-1.0,-699.7944739184966,2320.0
555.0,-0.041666666666666,-1.3000000000000114,-465.2163934395033,2320.0
556.0,-0.041666666666666,-1.4999999999999432,-401.5094732239031,2320.0
557.0,-0.0416666666666678,-1.5,-401.50947322388953,2320.0
558.0,-0.041666666666666,-1.3000000000000114,-465.2163934395033,2320.0
559.0,-0.041666666666666,-1.0,-699.7944739184966,2320.0
560.0,-0.04621212121212,-2.071428571428441,-325.0056507476005,2320.0
561.0,-0.0500000000000007,-2.5,-302.10863862813153,2319.9999999999995
562.0,-0.0500000000000007,-2.5000000000001137,-302.10863862812715,2320.0
563.0,-0.0500000000000007,-2.5000000000001137,-302.10863862812715,2320.0
564.0,-0.0499999999999989,-2.5,-302.10863862813153,2319.9999999999995
565.0,-0.0499999999999989,-2.125000000000057,-321.25653243840196,2320.0
566.0,-0.0500000000000007,-1.5,-401.50947322388953,2320.0
567.0,-0.0500000000000007,-1.4999999999999432,-401.5094732239031,2320.0
568.0,-0.0500000000000007,-2.125,-321.25653243840867,2319.9999999999845
569.0,-0.0499999999999989,-2.5,-302.10863862813153,2319.9999999999995
570.0,-0.0499999999999989,-2.5,-302.10863862813153,2319.9999999999995
571.0,-0.0500000000000007,-2.5,-302.10863862813153,2319.9999999999995
572.0,-0.0462121212121235,-2.4999999999998863,-302.10863862813596,2320.0
573.0,-0.041666666666666,-2.0714285714286405,-325.0056507475859,2320.0
574.0,-0.041666666666666,-1.0,-699.7944739184966,2320.0
575.0,-0.0416666666666678,-1.0,-699.7944739184966,2320.0
576.0,-0.041666666666666,-1.0,-699.7944739184966,2320.0
577.0,-0.04621212121212,-1.3000000000000682,-465.2163934394791,2320.0
578.0,-0.0500000000000007,-1.5,-401.50947322388953,2320.0
579.0,-0.0499999999999989,-1.5,-401.50947322388953,2320.0
580.0,-0.0499999999999989,-1.5,-401.50947322388953,2320.0
581.0,-0.0500000000000007,-1.5,-401.50947322388953,2320.0
582.0,-0.0500000000000007,-1.4999999999999432,-401.5094732239031,2320.0
583.0,-0.0544871794871788,-1.3000000000000398,-465.21639343949124,2320.0
584.0,-0.0583333333333335,-1.0,-699.7944739184966,2320.0
585.0,-0.0583333333333371,-1.2999999999999543,-465.2163934395275,2320.0
586.0,-0.0583333333333335,-1.5,-401.50947322388953,2320.0
587.0,-0.0583333333333371,-1.5000000000000568,-401.5094732238761,2320.0
588.0,-0.05833333333333,-1.2999999999999543,-465.2163934395275,2320.0
589.0,-0.0583333333333371,-1.0,-699.7944739184966,2320.0
590.0,-0.0544871794871824,-1.0,-699.7944739184966,2320.0
591.0,-0.0500000000000007,-1.0,-699.7944739184966,2320.0
592.0,-0.0500000000000007,-2.5,-302.10863862813153,2319.9999999999995
593.0,-0.0500000000000007,-3.0000000000001137,-287.6941090569029,2320.0
594.0,-0.0499999999999989,-3.0000000000001137,-287.6941090569029,2320.0
595.0,-0.0499999999999989,-2.9999999999998863,-287.69410905690773,2320.0
596.0,-0.0500000000000007,-3.0000000000001137,-287.6941090569029,2320.0
597.0,-0.0500000000000007,-3.0,-287.6941090569054,2320.0
598.0,-0.0500000000000007,-2.5,-302.10863862813153,2319.9999999999995
599.0,-0.0499999999999989,-1.0,-699.7944739184966,2320.0
600.0,-0.0499999999999989,-1.2999999999998408,-465.2163934395755,2320.0
601.0,-0.0500000000000007,-1.5000000000000568,-401.5094732238761,2320.0
602.0,-0.0544871794871753,-1.5000000000000568,-401.5094732238761,2320.0
603.0,-0.05833333333333,-1.4999999999999432,-401.5094732239031,2320.0
604.0,-0.0583333333333371,-1.5,-401.50947322388953,2320.0
605.0,-0.05833333333333,-1.5,-401.50947322388953,2320.0
606.0,-0.0583333333333335,-1.5,-401.50947322388953,2320.0
607.0,-0.0583333333333335,-1.5000000000000568,-401.5094732238761,2320.0
608.0,-0.0583333333333371,-1.5,-401.50947322388953,2320.0
609.0,-0.0583333333333335,-1.5,-401.50947322388953,2320.0
610.0,-0.05833333333333,-1.5,-401.50947322388953,2320.0
611.0,-0.0583333333333371,-1.5000000000000568,-401.5094732238761,2320.0
612.0,-0.05833333333333,-1.250000000000071,-488.2300375682312,2320.0
613.0,-0.0583333333333335,-2.1666666666667425,-318.55795944097923,2320.0000000000064
614.0,-0.0583333333333335,-2.5,-302.10863862813153,2319.9999999999995
615.0,-0.0583333333333371,-2.4999999999998863,-302.10863862813596,2320.0
616.0,-0.0583333333333335,-2.5,-302.10863862813153,2319.9999999999995
617.0,-0.05833333333333,-2.5,-302.10863862813153,2319.9999999999995
618.0,-0.0583333333333335,-2.124999999999943,-321.2565324384096,2320.0
619.0,-0.05833333333333,-1.5,-401.50947322388953,2320.0
620.0,-0.0583333333333371,-1.5,-401.50947322388953,2320.0
621.0,-0.0583333333333335,-1.3000000000001537,-465.21639343944287,2320.0
622.0,-0.0583333333333335,-1.0,-699.7944739184966,2320.0
623.0,-0.0583333333333335,-1.0,-699.7944739184966,2320.0
624.0,-0.0583333333333335,-1.0,-699.7944739184966,2320.0
625.0,-0.0583333333333335,-1.2999999999998408,-465.2163934395755,2320.0
626.0,-0.05833333333333,-1.5,-401.50947322388953,2320.0
627.0,-0.0583333333333371,-1.5000000000000568,-401.5094732238761,2320.0
628.0,-0.0583333333333264,-1.2499999999999574,-488.23003756828786,2320.0
629.0,-0.0583333333333335,-1.7000000000000457,-363.8739238136033,2320.0
630.0,-0.05833333333333,-2.0,-330.5595032720921,2320.0
631.0,-0.0583333333333335,-2.0,-330.5595032720921,2320.0
632.0,-0.0583333333333335,-2.0,-330.5595032720921,2320.0
633.0,-0.05833333333333,-2.954545454545496,-288.6869538242626,2320.0
634.0,-0.0583333333333371,-3.500000000000228,-279.3371112001204,2320.0
635.0,-0.05833333333333,-3.4999999999997726,-279.33711120012634,2320.0
636.0,-0.0583333333333335,-3.500000000000228,-279.3371112001204,2320.0
637.0,-0.0627777777777787,-3.5,-279.3371112001234,2320.0
638.0,-0.0666666666666664,-3.500000000000228,-279.3371112001204,2320.0
639.0,-0.0666666666666664,-3.4999999999997726,-279.33711120012634,2320.0
640.0,-0.0666666666666664,-3.125000000000064,-285.1988576918479,2320.0
641.0,-0.0666666666666664,-0.8333333333333712,-1086.5759311274503,2320.0
642.0,-0.0666666666666664,-1.0,-699.7944739184966,2320.0
643.0,-0.0666666666666664,-1.0,-699.7944739184966,2320.0
644.0,-0.0666666666666664,-1.0,-699.7944739184966,2320.0
645.0,-0.0666666666666664,-1.2999999999999543,-465.2163934395275,2320.0
646.0,-0.0666666666666664,-1.5,-401.50947322388953,2320.0
647.0,-0.0666666666666699,-1.5,-401.50947322388953,2320.0
648.0,-0.0666666666666664,-1.2499999999999716,-488.2300375682808,2320.0
649.0,-0.0666666666666664,-1.7000000000000457,-363.8739238136033,2320.0
650.0,-0.0666666666666664,-2.0,-330.5595032720921,2320.0
651.0,-0.0666666666666664,-2.0,-330.5595032720921,2320.0
652.0,-0.0666666666666664,-2.0,-330.5595032720921,2320.0
653.0,-0.0666666666666664,-1.7857142857142776,-352.2660391760459,2320.0
654.0,-0.0666666666666664,-1.5,-401.50947322388953,2320.0
655.0,-0.0666666666666664,-1.4999999999999432,-401.5094732239031,2320.0
656.0,-0.0666666666666664,-1.3000000000000114,-465.2163934395033,2320.0
657.0,-0.0666666666666664,-1.0,-699.7944739184966,2320.0
658.0,-0.0666666666666664,-1.0,-699.7944739184966,2320.0
659.0,-0.0666666666666664,-1.0,-699.7944739184966,2320.0
660.0,-0.0666666666666664,-1.0,-699.7944739184966,2320.0
661.0,-0.0666666666666664,-1.0,-699.7944739184966,2320.0
662.0,-0.0666666666666699,-2.500000000000228,-302.1086386281228,2320.0
663.0,-0.0666666666666664,-3.0,-287.6941090569054,2320.0
664.0,-0.0666666666666664,-3.0,-287.6941090569054,2320.0
665.0,-0.0666666666666664,-3.0000000000001137,-287.6941090569029,2320.0
666.0,-0.0666666666666664,-2.9999999999998863,-287.69410905690773,2320.0
667.0,-0.0666666666666664,-3.0,-287.6941090569054,2320.0
668.0,-0.0666666666666664,-2.5000000000000284,-302.10863862813045,2319.9999999999995
669.0,-0.0666666666666664,-1.0,-699.7944739184966,2320.0
670.0,-0.0666666666666664,-1.6666666666666288,-368.99632448442003,2319.9999999999995
671.0,-0.0666666666666664,-2.0,-330.5595032720921,2320.0
672.0,-0.0666666666666664,-2.0,-330.5595032720921,2320.0
673.0,-0.0666666666666664,-2.0,-330.5595032720921,2320.0
674.0,-0.0666666666666664,-1.6666666666667425,-368.9963244844019,2319.9999999999995
675.0,-0.0666666666666664,-1.0,-699.7944739184966,2320.0
676.0,-0.0666666666666664,-1.6666666666666288,-368.99632448442003,2319.9999999999995
677.0,-0.0710784313725483,-2.0,-330.5595032720921,2320.0
678.0,-0.0750000000000099,-2.0,-330.5595032720921,2320.0
679.0,-0.0749999999999921,-2.0,-330.5595032720921,2320.0
680.0,-0.0749999999999992,-2.0,-330.5595032720921,2320.0
681.0,-0.0750000000000099,-2.0,-330.5595032720921,2320.0
682.0,-0.0749999999999921,-2.0,-330.5595032720921,2320.0
683.0,-0.0749999999999992,-2.0,-330.5595032720921,2320.0
684.0,-0.0750000000000099,-2.0,-330.5595032720921,2320.0
685.0,-0.0749999999999921,-2.0,-330.5595032720921,2320.0
686.0,-0.0749999999999992,-2.0,-330.5595032720921,2320.0
