T,R1,R2,k1,k2
550.0,-1.3000000000000682,-3.0,1085.9168160889128,-2150.631605217824
551.0,-1.5,-3.0,451.52470942663507,-528.6916071661055
552.0,-1.5,-3.0,451.52470942663507,-528.6916071661055
553.0,-1.299999999999983,-3.0,1085.916816089659,-2150.6316052197317
554.0,-1.0,-3.0,-551.7133162948036,2036.2707629446643
555.0,-1.3000000000000114,-3.0000000000001137,1085.9168160894847,-2150.6316052193097
556.0,-1.4999999999999432,-3.0,451.52470942670016,-528.6916071662721
557.0,-1.5,-3.0,451.52470942663507,-528.6916071661055
558.0,-1.3000000000000114,-3.0,1085.9168160894126,-2150.631605219102
559.0,-1.0,-3.0,-551.7133162948036,2036.2707629446643
560.0,-2.071428571428441,-3.0,225.28882678535822,49.72200043851194
561.0,-2.5,-3.0,187.8501964735839,145.4407386403801
562.0,-2.5000000000001137,-3.0000000000001137,187.85019647357962,145.44073864038702
563.0,-2.5000000000001137,-3.0,187.85019647357743,145.4407386403967
564.0,-2.5,-3.0,187.8501964735839,145.4407386403801
565.0,-2.125000000000057,-2.7727272727273657,212.27691191559663,93.18325262334089
566.0,-1.5,-2.5000000000001137,390.6480741207377,-325.395228667439
567.0,-1.4999999999999432,-2.5,390.64807412077096,-325.3952286675061
568.0,-2.125,-2.4999999999998863,203.24815978067815,130.86669435453007
569.0,-2.5,-2.5000000000001137,176.41284941644292,196.20253164555552
570.0,-2.5,-3.083333333333485,189.37936202478946,138.65392131350032
571.0,-2.5,-3.5000000000001137,195.81022788309645,110.11213798625462
572.0,-2.4999999999998863,-3.4999999999998863,195.81022788310048,110.11213798624945
573.0,-2.0714285714286405,-3.500000000000228,236.83542548857736,2.0857073700653945
574.0,-1.0,-3.4999999999998863,-492.86800704925713,1923.5208698154331
575.0,-1.0,-3.500000000000228,-492.86800704922814,1923.5208698153779
576.0,-1.0,-3.4999999999998863,-492.86800704925713,1923.5208698154331
577.0,-1.3000000000000682,-3.083333333333144,1139.0864213733869,-2303.8755151293385
578.0,-1.5,-2.5,390.6480741207223,-325.3952286673876
579.0,-1.5,-2.5,390.6480741207223,-325.3952286673876
580.0,-1.5,-2.5000000000001137,390.6480741207377,-325.395228667439
581.0,-1.5,-2.5,390.6480741207223,-325.3952286673876
582.0,-1.4999999999999432,-3.083333333333485,460.4615727754855,-558.5360942148103
583.0,-1.3000000000000398,-3.5000000000001137,1419.4955428074115,-3112.0626346967774
584.0,-1.0,-3.4999999999998863,-492.86800704925713,1923.5208698154331
